UniqueID,loan_default
655269,0.432
723482,0.284
758529,0.42
763449,0.318
708663,0.342
725530,0.438
708592,0.328
714975,0.368
712795,0.312
708656,0.33
712520,0.226
753695,0.424
708646,0.25
730225,0.298
714877,0.254
769166,0.432
710254,0.316
708812,0.524
726172,0.394
716959,0.28
725935,0.514
736039,0.4
748400,0.358
753652,0.3
695108,0.418
695320,0.15
662145,0.406
688068,0.076
662099,0.27
723985,0.256
757491,0.202
688610,0.284
733285,0.272
722392,0.254
689941,0.262
662086,0.156
662336,0.262
662373,0.286
662111,0.144
711459,0.078
662098,0.216
729627,0.218
729023,0.134
698148,0.314
662059,0.18
662318,0.202
662400,0.126
745881,0.242
707400,0.064
665203,0.306
662265,0.344
724712,0.174
662430,0.32
662431,0.332
718315,0.292
733477,0.37
727178,0.226
709205,0.072
760975,0.338
728884,0.106
697644,0.346
766710,0.26
743227,0.134
728888,0.22
760702,0.21
677241,0.328
728922,0.21
728655,0.26
751372,0.37
741935,0.318
728307,0.384
717735,0.422
702566,0.18
757194,0.214
727264,0.428
767201,0.202
756322,0.258
728833,0.196
710833,0.484
742470,0.266
697634,0.376
702435,0.316
761300,0.306
734035,0.338
728916,0.454
728234,0.286
747459,0.26
742464,0.268
728178,0.396
756405,0.334
729226,0.316
729812,0.246
761338,0.302
710494,0.33
764460,0.154
710622,0.236
756779,0.356
712028,0.334
756503,0.23
767068,0.208
756908,0.38
756887,0.344
766830,0.22
750180,0.232
654130,0.27
718310,0.192
710116,0.26
718090,0.21
717738,0.164
717763,0.316
718122,0.282
756482,0.296
654116,0.272
756860,0.176
718369,0.12
756598,0.212
717871,0.252
768065,0.182
718014,0.258
754576,0.174
738611,0.326
757087,0.354
766961,0.338
717826,0.194
717843,0.286
715776,0.348
721686,0.318
717640,0.264
718049,0.36
756661,0.354
757067,0.316
766290,0.236
764814,0.24
766918,0.34
718041,0.36
710788,0.462
767614,0.184
757168,0.122
690608,0.372
692926,0.316
691329,0.108
683899,0.18
691102,0.15
758084,0.164
695277,0.268
680791,0.336
739107,0.418
719142,0.264
693504,0.386
739745,0.284
691131,0.112
766835,0.106
689547,0.2
719266,0.306
681174,0.234
710506,0.272
708686,0.212
739254,0.39
684079,0.13
745880,0.348
680848,0.304
692316,0.376
739169,0.186
757097,0.196
683767,0.134
682686,0.154
681184,0.476
719076,0.138
739539,0.202
693069,0.174
689637,0.396
719214,0.222
680936,0.128
766344,0.322
729262,0.192
766080,0.118
729137,0.344
729147,0.43
754653,0.254
729006,0.224
721015,0.284
743861,0.208
724054,0.278
710959,0.212
755247,0.324
729097,0.392
728996,0.326
728557,0.196
739664,0.23
766297,0.302
753448,0.294
766357,0.27
746654,0.24
703653,0.384
729025,0.22
730115,0.404
759298,0.172
766104,0.338
711093,0.19
766735,0.394
710969,0.16
766145,0.332
729062,0.34
744371,0.348
747659,0.278
662312,0.406
761597,0.216
766813,0.438
663407,0.314
668048,0.286
663839,0.342
679710,0.552
669243,0.236
657976,0.388
663606,0.352
657988,0.402
759622,0.236
759821,0.462
662711,0.61
665807,0.272
657990,0.252
675964,0.266
663616,0.142
668162,0.638
662639,0.402
678807,0.258
662184,0.38
674086,0.27
677849,0.308
664508,0.474
759356,0.36
668185,0.314
672969,0.468
699983,0.394
662810,0.442
707024,0.3
663060,0.446
739466,0.206
759755,0.398
669312,0.44
663024,0.292
658299,0.284
670527,0.176
658403,0.236
708480,0.412
683163,0.458
656465,0.324
686000,0.38
662174,0.266
748647,0.46
658055,0.298
748920,0.438
765801,0.264
762643,0.396
657992,0.362
658270,0.266
685945,0.228
739280,0.356
674233,0.502
769170,0.404
662568,0.37
668200,0.266
663016,0.322
676421,0.564
665646,0.328
668116,0.25
761103,0.308
662915,0.506
661090,0.226
733900,0.264
723174,0.564
760464,0.226
761592,0.43
742057,0.224
759460,0.136
764881,0.258
656081,0.338
675378,0.35
738320,0.186
765224,0.362
657351,0.398
694935,0.476
721085,0.332
658028,0.282
659732,0.518
675401,0.468
726234,0.316
733551,0.47
761316,0.116
688991,0.228
665516,0.266
708463,0.39
741730,0.294
726409,0.41
719133,0.26
685223,0.406
719052,0.25
694120,0.224
755368,0.24
741717,0.31
731079,0.198
719048,0.574
654797,0.41
689189,0.4
720137,0.442
755456,0.2
726293,0.26
735185,0.36
755082,0.422
719369,0.308
696157,0.23
654131,0.338
656815,0.412
757029,0.272
673338,0.306
764929,0.234
743413,0.25
665039,0.458
742395,0.204
731100,0.41
719376,0.306
654491,0.328
719367,0.198
724758,0.282
672220,0.232
719111,0.344
740263,0.304
747778,0.472
665238,0.478
693374,0.284
673366,0.552
750783,0.414
708010,0.442
726274,0.204
686036,0.512
685614,0.158
730736,0.45
660279,0.404
744514,0.254
740218,0.252
671479,0.482
665166,0.17
680551,0.506
665032,0.176
744022,0.446
719757,0.466
749080,0.226
731697,0.208
672293,0.14
702068,0.482
730529,0.362
740573,0.26
755286,0.152
747249,0.31
735619,0.44
735572,0.466
702118,0.394
743749,0.146
713196,0.534
695693,0.5
720715,0.35
665047,0.156
660287,0.262
742295,0.218
662043,0.392
665028,0.378
740350,0.284
726266,0.152
656520,0.264
687532,0.342
672983,0.356
660218,0.164
672317,0.23
742862,0.43
740194,0.208
719261,0.242
755624,0.242
719258,0.196
742291,0.23
731111,0.502
748547,0.148
665224,0.334
735356,0.27
744932,0.294
719181,0.174
756186,0.576
735577,0.37
719247,0.426
660249,0.346
731114,0.448
689078,0.536
655531,0.418
655540,0.368
748454,0.428
709046,0.392
669264,0.508
719781,0.294
702271,0.242
654764,0.346
663158,0.176
707175,0.202
657596,0.152
669667,0.22
661823,0.144
661806,0.322
732908,0.288
665290,0.276
763465,0.26
665245,0.346
665183,0.56
763563,0.36
665195,0.176
724240,0.284
669674,0.31
700311,0.274
763736,0.348
672951,0.392
702822,0.31
745572,0.35
713383,0.36
733303,0.396
673223,0.294
745816,0.266
724978,0.376
735433,0.506
668800,0.296
751042,0.438
726358,0.398
689739,0.326
754254,0.33
713214,0.396
734877,0.466
674443,0.336
760989,0.288
688840,0.49
713738,0.36
673230,0.352
763187,0.426
671174,0.406
677099,0.562
731498,0.278
725543,0.338
692688,0.55
731681,0.16
754417,0.254
768625,0.498
690461,0.568
732198,0.552
751363,0.222
754168,0.268
753805,0.376
750703,0.302
760051,0.136
761542,0.406
684765,0.338
754377,0.216
666963,0.16
710450,0.266
686352,0.3
668757,0.246
709207,0.256
758471,0.222
741750,0.238
748789,0.57
715206,0.322
732122,0.572
747698,0.292
684554,0.276
656335,0.188
667455,0.124
753470,0.428
759073,0.434
709736,0.26
765702,0.278
657576,0.272
716103,0.304
706077,0.284
760206,0.194
706462,0.248
709521,0.46
706149,0.308
746636,0.336
710631,0.38
685386,0.362
742413,0.258
682109,0.182
683698,0.508
749335,0.396
681621,0.188
683374,0.224
677735,0.32
672766,0.242
672044,0.386
742234,0.24
769578,0.482
672367,0.208
665458,0.234
685292,0.33
666776,0.356
724616,0.286
749376,0.29
769312,0.334
681929,0.252
722221,0.334
763493,0.44
682640,0.29
764740,0.478
665625,0.362
769610,0.422
742677,0.532
672493,0.236
752650,0.248
665667,0.274
761540,0.25
667480,0.476
749386,0.274
