DAY,DATE,HOLIDAY
Sunday,01-Jan-17,New Year's Day
Saturday,14-Jan-17,Makar Sankranti / Pongal
Thursday,26-Jan-17,Republic Day
Friday,24-Feb-17,Maha Shivaratri
Monday,13-Mar-17,Holi
Tuesday,28-Mar-17,Ugadi / Gudi Padwa
Wednesday,05-Apr-17,Ram Navami
Sunday,09-Apr-17,Mahavir Jayanti
Friday,14-Apr-17,Good Friday
Monday,01-May-17,Labor Day
Wednesday,10-May-17,Budhha Purnima
Sunday,25-Jun-17,Rath Yatra
Monday,26-Jun-17,Eid-ul-Fitar
Monday,07-Aug-17,Raksha Bandhan
Monday,14-Aug-17,Janmashtami
Tuesday,15-Aug-17,Independence Day
Friday,25-Aug-17,Vinayaka Chaturthi
Saturday,02-Sep-17,Bakri Id / Eid ul-Adha
Monday,04-Sep-17,Onam
Saturday,30-Sep-17,Dussehra / Dasara
Sunday,01-Oct-17,Muharram
Monday,02-Oct-17,Mathatma Gandhi Jayanti
Thursday,19-Oct-17,Diwali / Deepavali
Friday,01-Dec-17,Milad un Nabi
Monday,25-Dec-17,Christmas
Monday,01-Jan-18,New Year's Day
Sunday,14-Jan-18,Makar Sankranti / Pongal
Friday,26-Jan-18,Republic Day
Wednesday,14-Feb-18,Maha Shivaratri
Friday,02-Mar-18,Holi
Sunday,18-Mar-18,Ugadi / Gudi Padwa
Sunday,25-Mar-18,Ram Navami
Thursday,29-Mar-18,Mahavir Jayanti
Friday,30-Mar-18,Good Friday
Monday,30-Apr-18,Budhha Purnima
Tuesday,01-May-18,Labor Day
Saturday,16-Jun-18,Eid-ul-Fitar
Saturday,14-Jul-18,Rath Yatra
Wednesday,15-Aug-18,Independence Day
Wednesday,22-Aug-18,Bakri Id / Eid ul-Adha
Saturday,25-Aug-18,Onam
Sunday,26-Aug-18,Raksha Bandhan
Monday,03-Sep-18,Janmashtami
Thursday,13-Sep-18,Vinayaka Chaturthi
Friday,21-Sep-18,Muharram
Tuesday,02-Oct-18,Mathatma Gandhi Jayanti
Friday,19-Oct-18,Dussehra / Dasara
Wednesday,07-Nov-18,Diwali / Deepavali
Wednesday,21-Nov-18,Milad un Nabi
Friday,23-Nov-18,Guru Nanak's Birthday
Tuesday,25-Dec-18,Christmas
Tuesday,01-Jan-19,New Year's Day
Monday,14-Jan-19,Makar Sankranti / Pongal
Saturday,26-Jan-19,Republic Day
Monday,04-Mar-19,Maha Shivaratri
Thursday,21-Mar-19,Holi
Saturday,06-Apr-19,Ugadi / Gudi Padwa
Saturday,13-Apr-19,Ram Navami
Wednesday,17-Apr-19,Mahavir Jayanti
Friday,19-Apr-19,Good Friday
Wednesday,01-May-19,Labor Day
Saturday,18-May-19,Budhha Purnima
Wednesday,05-Jun-19,Eid-ul-Fitar
Thursday,04-Jul-19,Rath Yatra
Monday,12-Aug-19,Bakri Id / Eid ul-Adha
Thursday,15-Aug-19,Raksha Bandhan
Thursday,15-Aug-19,Independence Day
Saturday,24-Aug-19,Janmashtami
Monday,02-Sep-19,Vinayaka Chaturthi
Tuesday,10-Sep-19,Muharram
Wednesday,11-Sep-19,Onam
Wednesday,02-Oct-19,Mathatma Gandhi Jayanti
Tuesday,08-Oct-19,Dussehra / Dasara
Sunday,27-Oct-19,Diwali / Deepavali
Sunday,10-Nov-19,Milad un Nabi
Tuesday,12-Nov-19,Guru Nanak's Birthday
Wednesday,25-Dec-19,Christmas
